,Year Code,County,Deaths,Population,Crude Rate
201,1999,"Imperial County, CA",16.0,141056.0,11.343012704174228
202,1999,"Inyo County, CA",,17968.0,
203,1999,"Kern County, CA",83.0,655428.0,12.66348096205838
204,1999,"Kings County, CA",10.0,126402.0,7.911267226784386
205,1999,"Lake County, CA",17.0,57214.0,29.71300730590415
206,1999,"Lassen County, CA",,33838.0,
207,1999,"Los Angeles County, CA",930.0,9437290.0,9.85452391523414
208,1999,"Madera County, CA",,121883.0,
209,1999,"Marin County, CA",13.0,246269.0,5.27878052048776
210,1999,"Mariposa County, CA",,16966.0,
211,1999,"Mendocino County, CA",15.0,85665.0,17.51006828926633
212,1999,"Merced County, CA",29.0,206734.0,14.027687753344878
213,1999,"Modoc County, CA",,9509.0,
214,1999,"Mono County, CA",,12589.0,
215,1999,"Monterey County, CA",32.0,396267.0,8.075363328260996
216,1999,"Napa County, CA",21.0,123026.0,17.069562531497407
217,1999,"Nevada County, CA",,90899.0,
218,1999,"Orange County, CA",210.0,2815933.0,7.457563798570491
219,1999,"Placer County, CA",15.0,240928.0,6.2259264178509754
220,1999,"Plumas County, CA",0.0,20921.0,0.0
221,1999,"Riverside County, CA",202.0,1507912.0,13.396007194053764
222,1999,"Sacramento County, CA",136.0,1206659.0,11.270789842034908
223,1999,"San Benito County, CA",,51467.0,
224,1999,"San Bernardino County, CA",207.0,1681601.0,12.309697722586986
225,1999,"San Diego County, CA",256.0,2789593.0,9.17696595883342
226,1999,"San Francisco County, CA",103.0,774716.0,13.29519462615978
227,1999,"San Joaquin County, CA",49.0,552424.0,8.869998407020693
228,1999,"San Luis Obispo County, CA",23.0,243480.0,9.446361097420732
229,1999,"San Mateo County, CA",42.0,704538.0,5.961353397545626
230,1999,"Santa Barbara County, CA",46.0,396906.0,11.589645911122533
231,1999,"Santa Clara County, CA",129.0,1671498.0,7.717628139549075
232,1999,"Santa Cruz County, CA",24.0,253667.0,9.461222784201334
233,1999,"Shasta County, CA",30.0,161987.0,18.520004691734524
234,1999,"Sierra County, CA",,3480.0,
235,1999,"Siskiyou County, CA",,44424.0,
236,1999,"Solano County, CA",33.0,387657.0,8.512680023835504
237,1999,"Sonoma County, CA",41.0,453421.0,9.04236901246303
238,1999,"Stanislaus County, CA",42.0,438609.0,9.575726900268805
239,1999,"Sutter County, CA",,78216.0,
240,1999,"Tehama County, CA",,55517.0,
241,1999,"Trinity County, CA",,13050.0,
242,1999,"Tulare County, CA",23.0,364708.0,6.306414995009706
243,1999,"Tuolumne County, CA",,53857.0,
244,1999,"Ventura County, CA",57.0,743357.0,7.667917299494052
245,1999,"Yolo County, CA",22.0,165269.0,13.31163134042077
246,1999,"Yuba County, CA",,59881.0,
247,1999,"Adams County, CO",37.0,354146.0,10.447668475713407
248,1999,"Alamosa County, CO",,14881.0,
249,1999,"Arapahoe County, CO",39.0,482262.0,8.086890528384986
250,1999,"Archuleta County, CO",,9510.0,
251,1999,"Baca County, CO",0.0,4562.0,0.0
252,1999,"Bent County, CO",,6049.0,
253,1999,"Boulder County, CO",26.0,285901.0,9.094057033728458
254,1999,"Broomfield County, CO",,,
255,1999,"Chaffee County, CO",0.0,16026.0,0.0
256,1999,"Cheyenne County, CO",,2255.0,
257,1999,"Clear Creek County, CO",0.0,9293.0,0.0
258,1999,"Conejos County, CO",,8336.0,
259,1999,"Costilla County, CO",,3601.0,
260,1999,"Crowley County, CO",,5336.0,
261,1999,"Custer County, CO",,3455.0,
262,1999,"Delta County, CO",,27586.0,
263,1999,"Denver County, CO",113.0,548848.0,20.58857825846136
264,1999,"Dolores County, CO",0.0,1824.0,0.0
265,1999,"Douglas County, CO",,162866.0,
266,1999,"Eagle County, CO",,40443.0,
267,1999,"Elbert County, CO",,19170.0,
268,1999,"El Paso County, CO",59.0,509044.0,11.590353682589324
269,1999,"Fremont County, CO",,45655.0,
270,1999,"Garfield County, CO",,42611.0,
271,1999,"Gilpin County, CO",,4658.0,
272,1999,"Grand County, CO",,12138.0,
273,1999,"Gunnison County, CO",0.0,13765.0,0.0
274,1999,"Hinsdale County, CO",0.0,793.0,0.0
275,1999,"Huerfano County, CO",,7879.0,
276,1999,"Jackson County, CO",0.0,1573.0,0.0
277,1999,"Jefferson County, CO",54.0,523325.0,10.318635647064443
278,1999,"Kiowa County, CO",0.0,1639.0,0.0
