="Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"15-24 years"	"15-24"	"Female"	"F"	48	21001489	0.2286
	"2007"	"2007"	"15-24 years"	"15-24"	"Male"	"M"	146	22144326	0.6593
	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	182	19788593	0.9197
	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	553	19924870	2.7754
	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	928	21502002	4.3159
	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	2210	21294228	10.3784
	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	2106	22337962	9.4279
	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	5911	21601977	27.3632
	"2007"	"2007"	"55-64 years"	"55-64"	"Female"	"F"	1463	17148671	8.5313
	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	5134	15979763	32.1281
	"2007"	"2007"	"65-74 years"	"65-74"	"Female"	"F"	644	10595802	6.0779
	"2007"	"2007"	"65-74 years"	"65-74"	"Male"	"M"	2349	9102925	25.8049
	"2008"	"2008"	"15-24 years"	"15-24"	"Female"	"F"	42	21144714	0.1986
	"2008"	"2008"	"15-24 years"	"15-24"	"Male"	"M"	147	22246778	0.6608
	"2008"	"2008"	"25-34 years"	"25-34"	"Female"	"F"	199	20019411	0.9940
	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	612	20188062	3.0315
	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	963	21195733	4.5434
	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	2244	20996753	10.6874
	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	2190	22597536	9.6913
	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	6064	21862911	27.7365
	"2008"	"2008"	"55-64 years"	"55-64"	"Female"	"F"	1542	17681763	8.7208
	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	5538	16475300	33.6140
	"2008"	"2008"	"65-74 years"	"65-74"	"Female"	"F"	705	11004244	6.4066
	"2008"	"2008"	"65-74 years"	"65-74"	"Male"	"M"	2439	9501435	25.6698
	"2009"	"2009"	"15-24 years"	"15-24"	"Female"	"F"	37	21263984	0.1740
	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	149	22312948	0.6678
	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	196	20267430	0.9671
	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	556	20455912	2.7180
	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	942	20841610	4.5198
	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	2199	20646201	10.6509
	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	2403	22797854	10.5405
	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	5988	22069234	27.1328
	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	1728	18329541	9.4274
	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	5653	17076059	33.1048
	"2009"	"2009"	"65-74 years"	"65-74"	"Female"	"F"	727	11375157	6.3911
	"2009"	"2009"	"65-74 years"	"65-74"	"Male"	"M"	2482	9857942	25.1777
	"2010"	"2010"	"15-24 years"	"15-24"	"Female"	"F"	47	21308500	0.2206
	"2010"	"2010"	"15-24 years"	"15-24"	"Male"	"M"	105	22317842	0.4705
	"2010"	"2010"	"25-34 years"	"25-34"	"Female"	"F"	264	20431857	1.2921
	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	635	20632091	3.0777
	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	900	20634607	4.3616
	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	2176	20435999	10.6479
	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	2453	22864357	10.7285
	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	6159	22142359	27.8155
	"2010"	"2010"	"55-64 years"	"55-64"	"Female"	"F"	1805	18881581	9.5596
	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	6181	17601148	35.1170
	"2010"	"2010"	"65-74 years"	"65-74"	"Female"	"F"	769	11616910	6.6197
	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	2651	10096519	26.2566
	"2011"	"2011"	"15-24 years"	"15-24"	"Female"	"F"	44	21366229	0.2059
	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	129	22431646	0.5751
	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	273	20746335	1.3159
	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	620	21044163	2.9462
	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	911	20404484	4.4647
	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	2159	20223470	10.6757
	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	2683	22698956	11.8199
	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	6184	22019247	28.0845
	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	2097	19703935	10.6425
	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	6559	18358205	35.7279
	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	758	12005425	6.3138
	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	2668	10476313	25.4670
	"2012"	"2012"	"15-24 years"	"15-24"	"Female"	"F"	35	21431588	0.1633
	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	127	22512317	0.5641
	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	303	20970529	1.4449
	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	707	21338792	3.3132
	"2012"	"2012"	"35-44 years"	"35-44"	"Female"	"F"	908	20342813	4.4635
	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	2071	20173607	10.2659
	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	2603	22461868	11.5885
	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	6255	21806870	28.6836
	"2012"	"2012"	"55-64 years"	"55-64"	"Female"	"F"	2168	19983308	10.8491
	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	7131	18602894	38.3327
	"2012"	"2012"	"65-74 years"	"65-74"	"Female"	"F"	894	12782530	6.9939
	"2012"	"2012"	"65-74 years"	"65-74"	"Male"	"M"	2900	11202862	25.8862
	"2013"	"2013"	"15-24 years"	"15-24"	"Female"	"F"	46	21429247	0.2147
	"2013"	"2013"	"15-24 years"	"15-24"	"Male"	"M"	103	22525155	0.4573
	"2013"	"2013"	"25-34 years"	"25-34"	"Female"	"F"	353	21203096	1.6649
	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	738	21641491	3.4101
	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	925	20307429	4.5550
	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	2206	20145261	10.9505
	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	2602	22198448	11.7215
	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	6212	21569084	28.8005
	"2013"	"2013"	"55-64 years"	"55-64"	"Female"	"F"	2341	20359676	11.4982
	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	7593	18956755	40.0543
	"2013"	"2013"	"65-74 years"	"65-74"	"Female"	"F"	952	13419124	7.0944
	"2013"	"2013"	"65-74 years"	"65-74"	"Male"	"M"	3233	11797642	27.4038
	"2014"	"2014"	"15-24 years"	"15-24"	"Female"	"F"	43	21456371	0.2004
	"2014"	"2014"	"15-24 years"	"15-24"	"Male"	"M"	100	22523450	0.4440
	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	413	21546290	1.9168
	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	824	21970214	3.7505
	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	1025	20353904	5.0359
	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	2234	20159229	11.0818
	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	2669	22033807	12.1132
	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	6211	21425044	28.9894
	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	2722	20755699	13.1145
	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	8038	19321882	41.6005
	"2014"	"2014"	"65-74 years"	"65-74"	"Female"	"F"	1020	14049245	7.2602
	"2014"	"2014"	"65-74 years"	"65-74"	"Male"	"M"	3636	12349045	29.4436
	"2015"	"2015"	"15-24 years"	"15-24"	"Female"	"F"	43	21382495	0.2011
	"2015"	"2015"	"15-24 years"	"15-24"	"Male"	"M"	114	22465721	0.5074
	"2015"	"2015"	"25-34 years"	"25-34"	"Female"	"F"	458	21838064	2.0973
	"2015"	"2015"	"25-34 years"	"25-34"	"Male"	"M"	960	22299138	4.3051
	"2015"	"2015"	"35-44 years"	"35-44"	"Female"	"F"	1134	20386206	5.5626
	"2015"	"2015"	"35-44 years"	"35-44"	"Male"	"M"	2409	20203577	11.9236
	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	2895	21889385	13.2256
	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	6425	21298776	30.1661
	"2015"	"2015"	"55-64 years"	"55-64"	"Female"	"F"	3006	21163072	14.2040
	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	8539	19714747	43.3128
	"2015"	"2015"	"65-74 years"	"65-74"	"Female"	"F"	1160	14658169	7.9137
	"2015"	"2015"	"65-74 years"	"65-74"	"Male"	"M"	4095	12892348	31.7630
	"2016"	"2016"	"15-24 years"	"15-24"	"Female"	"F"	41	21218116	0.1932
	"2016"	"2016"	"15-24 years"	"15-24"	"Male"	"M"	116	22292911	0.5203
	"2016"	"2016"	"25-34 years"	"25-34"	"Female"	"F"	527	22077505	2.3870
	"2016"	"2016"	"25-34 years"	"25-34"	"Male"	"M"	1064	22599738	4.7080
	"2016"	"2016"	"35-44 years"	"35-44"	"Female"	"F"	1229	20317393	6.0490
	"2016"	"2016"	"35-44 years"	"35-44"	"Male"	"M"	2490	20152763	12.3556
	"2016"	"2016"	"45-54 years"	"45-54"	"Female"	"F"	2850	21680540	13.1454
	"2016"	"2016"	"45-54 years"	"45-54"	"Male"	"M"	6319	21106139	29.9392
	"2016"	"2016"	"55-64 years"	"55-64"	"Female"	"F"	3162	21464106	14.7316
	"2016"	"2016"	"55-64 years"	"55-64"	"Male"	"M"	9153	19999038	45.7672
	"2016"	"2016"	"65-74 years"	"65-74"	"Female"	"F"	1345	15239221	8.8259
	"2016"	"2016"	"65-74 years"	"65-74"	"Male"	"M"	4477	13391109	33.4326
	"2017"	"2017"	"15-24 years"	"15-24"	"Female"	"F"	39	21100662	0.1848
	"2017"	"2017"	"15-24 years"	"15-24"	"Male"	"M"	97	22149633	0.4379
	"2017"	"2017"	"25-34 years"	"25-34"	"Female"	"F"	516	22351311	2.3086
	"2017"	"2017"	"25-34 years"	"25-34"	"Male"	"M"	1032	22991361	4.4886
	"2017"	"2017"	"35-44 years"	"35-44"	"Female"	"F"	1259	20506270	6.1396
	"2017"	"2017"	"35-44 years"	"35-44"	"Male"	"M"	2600	20369100	12.7644
	"2017"	"2017"	"45-54 years"	"45-54"	"Female"	"F"	2840	21468595	13.2286
	"2017"	"2017"	"45-54 years"	"45-54"	"Male"	"M"	6394	20906357	30.5840
	"2017"	"2017"	"55-64 years"	"55-64"	"Female"	"F"	3334	21737855	15.3373
	"2017"	"2017"	"55-64 years"	"55-64"	"Male"	"M"	9361	20257803	46.2094
	"2017"	"2017"	"65-74 years"	"65-74"	"Female"	"F"	1408	15806306	8.9078
	"2017"	"2017"	"65-74 years"	"65-74"	"Male"	"M"	4808	13877140	34.6469
	"2018"	"2018"	"15-24 years"	"15-24"	"Female"	"F"	37	20994345	0.1762
	"2018"	"2018"	"15-24 years"	"15-24"	"Male"	"M"	91	21976455	0.4141
	"2018"	"2018"	"25-34 years"	"25-34"	"Female"	"F"	595	22487065	2.6460
	"2018"	"2018"	"25-34 years"	"25-34"	"Male"	"M"	1080	23210709	4.6530
	"2018"	"2018"	"35-44 years"	"35-44"	"Female"	"F"	1342	20690288	6.4861
	"2018"	"2018"	"35-44 years"	"35-44"	"Male"	"M"	2805	20587600	13.6247
	"2018"	"2018"	"45-54 years"	"45-54"	"Female"	"F"	2784	21090497	13.2003
	"2018"	"2018"	"45-54 years"	"45-54"	"Male"	"M"	6208	20541202	30.2222
	"2018"	"2018"	"55-64 years"	"55-64"	"Female"	"F"	3562	21873773	16.2843
	"2018"	"2018"	"55-64 years"	"55-64"	"Male"	"M"	9740	20398863	47.7478
	"2018"	"2018"	"65-74 years"	"65-74"	"Female"	"F"	1628	16246231	10.0208
	"2018"	"2018"	"65-74 years"	"65-74"	"Male"	"M"	5139	14246085	36.0731
	"2019"	"2019"	"15-24 years"	"15-24"	"Female"	"F"	55	20877151	0.2634
	"2019"	"2019"	"15-24 years"	"15-24"	"Male"	"M"	109	21810359	0.4998
	"2019"	"2019"	"25-34 years"	"25-34"	"Female"	"F"	650	22581141	2.8785
	"2019"	"2019"	"25-34 years"	"25-34"	"Male"	"M"	1268	23359180	5.4283
	"2019"	"2019"	"35-44 years"	"35-44"	"Female"	"F"	1497	20867064	7.1740
	"2019"	"2019"	"35-44 years"	"35-44"	"Male"	"M"	3117	20792080	14.9913
	"2019"	"2019"	"45-54 years"	"45-54"	"Female"	"F"	2784	20702936	13.4474
	"2019"	"2019"	"45-54 years"	"45-54"	"Male"	"M"	6220	20171966	30.8349
	"2019"	"2019"	"55-64 years"	"55-64"	"Female"	"F"	3840	21949318	17.4948
	"2019"	"2019"	"55-64 years"	"55-64"	"Male"	"M"	9974	20499219	48.6555
	"2019"	"2019"	"65-74 years"	"65-74"	"Female"	"F"	1709	16783854	10.1824
	"2019"	"2019"	"65-74 years"	"65-74"	"Male"	"M"	5368	14699579	36.5181
	"2020 "	"2020"	"15-24 years"	"15-24"	"Female"	"F"	48	20828241	0.2305
	"2020 "	"2020"	"15-24 years"	"15-24"	"Male"	"M"	136	21727443	0.6259
	"2020 "	"2020"	"25-34 years"	"25-34"	"Female"	"F"	885	22625267	3.9116
	"2020 "	"2020"	"25-34 years"	"25-34"	"Male"	"M"	1860	23444379	7.9337
	"2020 "	"2020"	"35-44 years"	"35-44"	"Female"	"F"	2158	21090324	10.2322
	"2020 "	"2020"	"35-44 years"	"35-44"	"Male"	"M"	4586	21045868	21.7905
	"2020 "	"2020"	"45-54 years"	"45-54"	"Female"	"F"	3415	20441441	16.7063
	"2020 "	"2020"	"45-54 years"	"45-54"	"Male"	"M"	7673	19924692	38.5100
	"2020 "	"2020"	"55-64 years"	"55-64"	"Female"	"F"	4596	21914243	20.9727
	"2020 "	"2020"	"55-64 years"	"55-64"	"Male"	"M"	12083	20489434	58.9719
	"2020 "	"2020"	"65-74 years"	"65-74"	"Female"	"F"	2238	17365858	12.8874
	"2020 "	"2020"	"65-74 years"	"65-74"	"Male"	"M"	6586	15183540	43.3759
	"2021"	"2021"	"15-24 years"	"15-24"	"Female"	"F"	61	21092449	0.2892
	"2021"	"2021"	"15-24 years"	"15-24"	"Male"	"M"	153	21996214	0.6956
	"2021"	"2021"	"25-34 years"	"25-34"	"Female"	"F"	984	22441743	4.3847
	"2021"	"2021"	"25-34 years"	"25-34"	"Male"	"M"	2043	23053362	8.8620
	"2021"	"2021"	"35-44 years"	"35-44"	"Female"	"F"	2483	21546241	11.5241
	"2021"	"2021"	"35-44 years"	"35-44"	"Male"	"M"	5314	21857613	24.3119
	"2021"	"2021"	"45-54 years"	"45-54"	"Female"	"F"	3639	20376477	17.8588
	"2021"	"2021"	"45-54 years"	"45-54"	"Male"	"M"	8674	20311959	42.7039
	"2021"	"2021"	"55-64 years"	"55-64"	"Female"	"F"	5073	21839746	23.2283
	"2021"	"2021"	"55-64 years"	"55-64"	"Male"	"M"	12887	20963318	61.4740
	"2021"	"2021"	"65-74 years"	"65-74"	"Female"	"F"	2546	17797036	14.3058
	"2021"	"2021"	"65-74 years"	"65-74"	"Male"	"M"	7432	15869086	46.8332
	"2022 "	"2022"	"15-24 years"	"15-24"	"Female"	"F"	61	21657540	0.2817
	"2022 "	"2022"	"15-24 years"	"15-24"	"Male"	"M"	139	22684031	0.6128
	"2022 "	"2022"	"25-34 years"	"25-34"	"Female"	"F"	945	22311738	4.2354
	"2022 "	"2022"	"25-34 years"	"25-34"	"Male"	"M"	2047	23189562	8.8272
	"2022 "	"2022"	"35-44 years"	"35-44"	"Female"	"F"	2328	21575176	10.7902
	"2022 "	"2022"	"35-44 years"	"35-44"	"Male"	"M"	5101	22120189	23.0604
